,factor,date,quantile,ret
101,momentum_20,2025-07-09,Q1,0.007117139905528276
102,momentum_20,2025-07-10,Q1,0.010350951399077987
103,momentum_20,2025-07-11,Q1,0.002962692406096337
104,momentum_20,2025-07-14,Q1,0.011771621725442109
105,momentum_20,2025-07-15,Q1,0.031208132082035715
106,momentum_20,2025-07-16,Q1,0.017863033883702202
107,momentum_20,2025-07-17,Q1,0.025859571741264263
108,momentum_20,2025-07-18,Q1,0.02090680140191677
109,momentum_20,2025-07-21,Q1,0.003412473581464499
110,momentum_20,2025-07-22,Q1,0.0022798276136365317
111,momentum_20,2025-07-23,Q1,0.007833113059903219
112,momentum_20,2025-07-24,Q1,-0.014402942556098529
113,momentum_20,2025-07-25,Q1,-0.012020600095761069
114,momentum_20,2025-07-28,Q1,-0.006211664387505764
115,momentum_20,2025-07-29,Q1,0.007950842520511639
116,momentum_20,2025-07-30,Q1,0.018115972003131947
117,momentum_20,2025-07-31,Q1,0.03292809157646586
118,momentum_20,2025-08-01,Q1,0.027894055418230878
119,momentum_20,2025-08-04,Q1,0.025451826557729627
120,momentum_20,2025-08-05,Q1,0.016027596077872467
121,momentum_20,2025-08-06,Q1,0.014135496311800624
122,momentum_20,2025-08-07,Q1,0.003167218318449987
123,momentum_20,2025-08-08,Q1,0.012708226698717327
124,momentum_20,2025-08-11,Q1,0.009035447357297534
125,momentum_20,2025-08-12,Q1,0.015724538863262902
126,momentum_20,2025-08-13,Q1,0.02133445579659683
127,momentum_20,2025-08-14,Q1,0.04063919516204031
128,momentum_20,2025-08-15,Q1,0.030350807934325295
129,momentum_20,2025-08-18,Q1,0.027469573079176007
130,momentum_20,2025-08-19,Q1,0.025744172825141295
131,momentum_20,2025-08-20,Q1,-0.006928715714858825
132,momentum_20,2025-08-21,Q1,-0.012978234703567118
133,momentum_20,2025-08-22,Q1,-0.015417511805927047
134,momentum_20,2025-08-25,Q1,-0.021161594454509474
135,momentum_20,2025-08-26,Q1,-0.030177324180286333
136,momentum_20,2025-08-27,Q1,-0.02111363268652392
137,momentum_20,2025-08-28,Q1,-0.01323064221510328
138,momentum_20,2025-08-29,Q1,-0.003056409832715645
139,momentum_20,2025-09-01,Q1,-0.0023719133192845235
140,momentum_20,2025-09-02,Q1,-0.0019700515646567805
141,momentum_20,2025-09-03,Q1,0.021411787765889145
142,momentum_20,2025-09-04,Q1,0.02688399286782347
143,momentum_20,2025-09-05,Q1,0.010468425595786592
144,momentum_20,2025-09-08,Q1,-0.002592150946453557
145,momentum_20,2025-09-09,Q1,0.01995992361390875
146,momentum_20,2025-09-10,Q1,0.02098578175754324
147,momentum_20,2025-09-11,Q1,-0.009843353002407584
148,momentum_20,2025-09-12,Q1,-0.01360246831831282
149,momentum_20,2025-09-15,Q1,-0.011310136918565085
150,momentum_20,2025-09-16,Q1,-0.038382450666597887
151,momentum_20,2025-09-17,Q1,-0.0269895201606476
152,momentum_20,2025-09-18,Q1,-0.018717966176677592
153,momentum_20,2025-09-19,Q1,-0.01586724324421649
154,momentum_20,2025-09-22,Q1,-0.009594853397696128
155,momentum_20,2025-09-23,Q1,0.009042310964769934
156,momentum_20,2025-09-24,Q1,-0.0003214526186696559
157,momentum_20,2025-09-25,Q1,0.012980558001118267
158,momentum_20,2025-09-26,Q1,0.014901564653059918
159,momentum_20,2025-09-29,Q1,-0.002561084907186518
160,momentum_20,2025-09-30,Q1,0.01742454113122055
161,momentum_20,2025-10-09,Q1,0.005259576128001327
162,momentum_20,2025-10-10,Q1,-0.014406396649602901
163,momentum_20,2025-10-13,Q1,-0.004040927447195258
164,momentum_20,2025-10-14,Q1,0.015101796013796364
165,momentum_20,2025-10-15,Q1,0.0015813639220179038
166,momentum_20,2025-10-16,Q1,0.020769270283593315
167,momentum_20,2025-10-17,Q1,0.03902688273523571
168,momentum_20,2025-10-20,Q1,0.028281575933193123
169,momentum_20,2025-10-21,Q1,0.007653893143680542
170,momentum_20,2025-10-22,Q1,0.009749729176707255
171,momentum_20,2025-10-23,Q1,-0.004733524614553624
172,momentum_20,2025-10-24,Q1,0.011124835236695834
173,momentum_20,2025-10-27,Q1,0.01787918055137728
174,momentum_20,2025-10-28,Q1,0.010463833188798824
175,momentum_20,2025-10-29,Q1,0.014498817415643742
176,momentum_20,2025-10-30,Q1,0.024944485637986038
177,momentum_20,2025-10-31,Q1,0.005140774434070902
178,momentum_20,2025-11-03,Q1,0.010333822383316302
179,momentum_20,2025-11-04,Q1,0.024160564368942712
180,momentum_20,2025-11-05,Q1,0.008288379205845577
181,momentum_20,2025-11-06,Q1,0.016837058967055247
182,momentum_20,2025-11-07,Q1,0.013534011400952022
183,momentum_20,2025-11-10,Q1,0.0027989634060742695
184,momentum_20,2025-11-11,Q1,-0.01242243953087795
185,momentum_20,2025-11-12,Q1,-0.014843862670984611
186,momentum_20,2025-11-13,Q1,-0.030022036142774846
187,momentum_20,2025-11-14,Q1,-0.05133869448295383
188,momentum_20,2025-11-17,Q1,-0.04477501339625767
189,momentum_20,2025-11-18,Q1,-0.028594024084611935
190,momentum_20,2025-11-19,Q1,-0.01837701306091911
191,momentum_20,2025-11-20,Q1,-0.015004882747416178
192,momentum_20,2025-11-21,Q1,0.03781081242828537
193,momentum_20,2025-11-24,Q1,0.031117392021622364
194,momentum_20,2025-11-25,Q1,0.014273380624844225
195,momentum_20,2025-11-26,Q1,0.009641133112694449
196,momentum_20,2025-11-27,Q1,0.002438015559649707
197,momentum_20,2025-11-28,Q1,0.002901487276906624
198,momentum_20,2025-12-01,Q1,-0.001346347892039035
199,momentum_20,2025-12-02,Q1,-0.0038379303228891323
200,momentum_20,2025-12-03,Q1,0.010589852352295894
201,momentum_20,2025-12-04,Q1,-8.216936510658191e-05
202,momentum_20,2025-12-05,Q1,-0.01432410117160727
203,momentum_20,2025-12-08,Q1,-0.015259204642189165
204,momentum_20,2025-12-09,Q1,-0.025756221492922626
205,momentum_20,2025-12-10,Q1,-0.02182532322282649
206,momentum_20,2025-12-11,Q1,-0.0035796844183467636
207,momentum_20,2025-12-12,Q1,0.02076624172269502
208,momentum_20,2025-12-15,Q1,0.016091182827035328
209,momentum_20,2025-12-16,Q1,0.025843310561174136
210,momentum_20,2025-12-17,Q1,0.03166651657082654
211,momentum_20,2025-12-18,Q1,0.03546102753722327
212,momentum_20,2025-12-19,Q1,0.01276590174944457
213,momentum_20,2025-12-22,Q1,0.00041758297914470846
214,momentum_20,2025-12-23,Q1,0.010554018894976074
215,momentum_20,2025-12-24,Q1,-0.00022841206456926627
216,momentum_20,2025-12-25,Q1,0.010183674119036614
217,momentum_20,2025-12-26,Q1,0.021869531459490315
218,momentum_20,2025-12-29,Q1,0.025043807629369363
219,momentum_20,2025-12-30,Q1,0.04255197166231841
220,momentum_20,2025-12-31,Q1,0.0490008409038485
221,momentum_20,2026-01-05,Q1,0.04309333238688216
222,momentum_20,2026-01-06,Q1,0.025499399622810035
223,momentum_20,2026-01-07,Q1,0.039039343153481204
224,momentum_20,2026-01-08,Q1,0.011252009000926143
225,momentum_20,2026-01-09,Q1,-0.009825459088680176
226,momentum_20,2026-01-12,Q1,-0.006720136327510615
227,momentum_20,2026-01-13,Q1,0.003677221272901028
228,momentum_20,2026-01-14,Q1,0.005463772067537157
229,momentum_20,2026-01-15,Q1,0.01685682282706251
230,momentum_20,2026-01-16,Q1,0.02831237588444757
231,momentum_20,2026-01-19,Q1,0.01135152680227093
232,momentum_20,2026-01-20,Q1,-0.0025703048202786252
233,momentum_20,2026-01-21,Q1,-0.002415123433560789
234,momentum_20,2026-01-22,Q1,-0.009182474034838833
235,momentum_20,2026-01-23,Q1,-0.01917369241658782
236,momentum_20,2026-01-26,Q1,-0.028723714202897196
237,momentum_20,2026-01-27,Q1,-0.008200919419465413
238,momentum_20,2026-01-28,Q1,0.0096449982877375
239,momentum_20,2026-01-29,Q1,0.009979699355325045
240,momentum_20,2026-01-30,Q1,0.011676249039781207
241,momentum_20,2026-02-02,Q1,0.043882203013647626
242,momentum_20,2026-02-03,Q1,0.024327928217361617
243,momentum_20,2026-02-04,Q1,0.01029380629744385
244,momentum_20,2026-02-05,Q1,0.008016498045780212
245,momentum_20,2026-02-06,Q1,0.0031246891424189043
246,momentum_20,2026-02-09,Q1,-0.0042835129483728765
247,momentum_20,2026-02-10,Q1,0.006324745631642036
248,momentum_20,2026-02-11,Q1,0.0026333470054310916
249,momentum_20,2026-02-12,Q1,0.018166666402920025
250,momentum_20,2026-02-13,Q1,0.005120866938359511
251,momentum_20,2026-02-24,Q1,-0.04270177292149722
252,momentum_20,2026-02-25,Q1,-0.05568662688800254
253,momentum_20,2026-02-26,Q1,-0.04287973125168404
254,momentum_20,2026-02-27,Q1,-0.035667806212165414
255,momentum_20,2026-03-02,Q1,-0.01731030116833818
256,momentum_20,2026-03-03,Q1,0.037736474048616374
257,momentum_20,2026-03-04,Q1,0.03602082229199388
258,momentum_20,2026-03-05,Q1,0.008520445732308585
259,momentum_20,2026-03-06,Q1,-0.01575921014979998
260,momentum_20,2026-03-09,Q1,-0.0039226800014148955
261,momentum_20,2026-03-10,Q1,-0.02299164799830542
262,momentum_20,2026-03-11,Q1,-0.019442695665178422
263,momentum_20,2026-03-12,Q1,-0.036103789620205565
264,momentum_20,2026-03-13,Q1,-0.05036862354533612
265,momentum_20,2026-03-16,Q1,-0.10684984599803121
266,momentum_20,2026-03-17,Q1,-0.06154491254629382
267,momentum_20,2026-03-18,Q1,-0.05122157670941005
268,momentum_20,2026-03-19,Q1,-0.041163801878557775
269,momentum_20,2026-03-20,Q1,-0.0032916613460136205
270,momentum_20,2026-03-23,Q1,0.06263693139639966
271,momentum_20,2026-03-24,Q1,0.012378841021573286
272,momentum_20,2026-03-25,Q1,0.006066190481457989
273,momentum_20,2026-03-26,Q1,0.003237254758270829
274,momentum_20,2026-03-27,Q1,-0.03745968815042913
275,momentum_20,2026-03-30,Q1,-0.023707372069086546
276,momentum_20,2026-03-31,Q1,0.02792329836724591
277,momentum_20,2026-04-01,Q1,-0.001567397168418721
278,momentum_20,2026-04-02,Q1,0.02864048334099533
279,momentum_20,2026-04-03,Q1,0.05758839468498472
280,momentum_20,2026-04-07,Q1,0.04380176537610287
281,momentum_20,2026-04-08,Q1,-0.006729043263283064
282,momentum_20,2026-04-09,Q1,0.02473704985173214
283,momentum_20,2026-04-10,Q1,0.012951158395037672
284,momentum_20,2026-04-13,Q1,0.012487878921620106
285,momentum_20,2026-04-14,Q1,0.004468392241682812
286,momentum_20,2026-04-15,Q1,0.011596917129848386
287,momentum_20,2026-04-16,Q1,-0.009333999210901507
288,momentum_20,2026-04-17,Q1,-0.0019883722267919545
289,momentum_20,2026-04-20,Q1,-0.005384928259272771
290,momentum_20,2026-04-21,Q1,-0.00686049332460924
291,momentum_20,2026-04-22,Q1,0.012999784172407635
292,momentum_20,2026-04-23,Q1,0.01393654439592271
293,momentum_20,2025-02-07,Q2,0.015426417019779981
294,momentum_20,2025-02-10,Q2,0.01652890933552542
295,momentum_20,2025-02-11,Q2,0.022482014619861657
296,momentum_20,2025-02-12,Q2,-0.02097840274127316
297,momentum_20,2025-02-13,Q2,0.011219333784637941
298,momentum_20,2025-02-14,Q2,0.013100049195764662
299,momentum_20,2025-02-17,Q2,-0.012052067512605347
300,momentum_20,2025-02-18,Q2,0.013730461865597376
301,momentum_20,2025-02-19,Q2,0.039488408656966595
302,momentum_20,2025-02-20,Q2,0.031253601025082754
303,momentum_20,2025-02-21,Q2,0.015345416861820733
304,momentum_20,2025-02-24,Q2,-0.01162586555268319
305,momentum_20,2025-02-25,Q2,0.010304556568316147
306,momentum_20,2025-02-26,Q2,-0.010644559244982985
307,momentum_20,2025-02-27,Q2,-0.005729152371803968
308,momentum_20,2025-02-28,Q2,0.011625275052422283
309,momentum_20,2025-03-03,Q2,0.01910773059772718
310,momentum_20,2025-03-04,Q2,0.014303450677513934
311,momentum_20,2025-03-05,Q2,0.02330558981091262
312,momentum_20,2025-03-06,Q2,0.00990909309823412
313,momentum_20,2025-03-07,Q2,0.03318283478224122
314,momentum_20,2025-03-10,Q2,0.03216704414329452
315,momentum_20,2025-03-11,Q2,0.02829317807679699
316,momentum_20,2025-03-12,Q2,0.022027347601654063
317,momentum_20,2025-03-13,Q2,0.026290257058589693
318,momentum_20,2025-03-14,Q2,-0.0012390023731705716
319,momentum_20,2025-03-17,Q2,-0.022582406532628687
320,momentum_20,2025-03-18,Q2,-0.01686487441143124
321,momentum_20,2025-03-19,Q2,-0.011953086418495684
322,momentum_20,2025-03-20,Q2,-0.012522835069058548
323,momentum_20,2025-03-21,Q2,-0.01781310535722214
324,momentum_20,2025-03-24,Q2,-0.01750996221419743
325,momentum_20,2025-03-25,Q2,-0.003097947029496159
326,momentum_20,2025-03-26,Q2,-0.016916604588887597
327,momentum_20,2025-03-27,Q2,-0.012873040177559227
328,momentum_20,2025-03-28,Q2,-0.10785024989656845
329,momentum_20,2025-03-31,Q2,-0.08537809961284187
330,momentum_20,2025-04-01,Q2,-0.07339321978607083
331,momentum_20,2025-04-02,Q2,-0.057310246993589956
332,momentum_20,2025-04-03,Q2,-0.06594794557837172
333,momentum_20,2025-04-07,Q2,0.06974268940760799
334,momentum_20,2025-04-08,Q2,0.08351683214288609
335,momentum_20,2025-04-09,Q2,0.04272972596324309
336,momentum_20,2025-04-10,Q2,0.024481272797828652
337,momentum_20,2025-04-11,Q2,0.017121186552252775
338,momentum_20,2025-04-14,Q2,0.01063333992659974
339,momentum_20,2025-04-15,Q2,0.013933656493159032
340,momentum_20,2025-04-16,Q2,0.03931837008697472
341,momentum_20,2025-04-17,Q2,0.020875368572819162
342,momentum_20,2025-04-18,Q2,0.023167667266229725
343,momentum_20,2025-04-21,Q2,-0.005681864388230668
344,momentum_20,2025-04-22,Q2,0.002932919162358454
345,momentum_20,2025-04-23,Q2,0.0027621996521612854
346,momentum_20,2025-04-24,Q2,0.03744757153992739
347,momentum_20,2025-04-25,Q2,0.04303341788325705
348,momentum_20,2025-04-28,Q2,0.06579558729342619
349,momentum_20,2025-04-29,Q2,0.042963294715546205
350,momentum_20,2025-04-30,Q2,0.043350433375989275
351,momentum_20,2025-05-06,Q2,0.015492922149379576
352,momentum_20,2025-05-07,Q2,0.014660205115533169
353,momentum_20,2025-05-08,Q2,-0.0008495938999839481
354,momentum_20,2025-05-09,Q2,0.008384737129069878
355,momentum_20,2025-05-12,Q2,0.009552099741496258
356,momentum_20,2025-05-13,Q2,0.015432085154769449
357,momentum_20,2025-05-14,Q2,0.008115602878754792
358,momentum_20,2025-05-15,Q2,0.001966039925286161
359,momentum_20,2025-05-16,Q2,-0.009348725024408682
360,momentum_20,2025-05-19,Q2,-0.012459866070721056
361,momentum_20,2025-05-20,Q2,-0.014045226423177551
362,momentum_20,2025-05-21,Q2,-0.013657222389679284
363,momentum_20,2025-05-22,Q2,0.011033430210714623
364,momentum_20,2025-05-23,Q2,0.014842658391308003
365,momentum_20,2025-05-26,Q2,0.01556614970318168
366,momentum_20,2025-05-27,Q2,0.017299856275077786
367,momentum_20,2025-05-28,Q2,0.020217450009344235
368,momentum_20,2025-05-29,Q2,0.005587405575663887
369,momentum_20,2025-05-30,Q2,0.023412617560670507
370,momentum_20,2025-06-03,Q2,0.011421019180635221
371,momentum_20,2025-06-04,Q2,0.011501385138416517
372,momentum_20,2025-06-05,Q2,0.009093505306667972
373,momentum_20,2025-06-06,Q2,-0.005390983746824552
374,momentum_20,2025-06-09,Q2,-0.010279249876966878
375,momentum_20,2025-06-10,Q2,-0.00154097095023352
376,momentum_20,2025-06-11,Q2,-0.010336053726644411
377,momentum_20,2025-06-12,Q2,-0.025667878778522328
378,momentum_20,2025-06-13,Q2,-0.018921560602076976
379,momentum_20,2025-06-16,Q2,-0.01288350557805141
380,momentum_20,2025-06-17,Q2,0.0017737151632074527
381,momentum_20,2025-06-18,Q2,0.016624906413298102
382,momentum_20,2025-06-19,Q2,0.03669536264481345
383,momentum_20,2025-06-20,Q2,0.04463867477264533
384,momentum_20,2025-06-23,Q2,0.0343875172565574
385,momentum_20,2025-06-24,Q2,0.01914981376729108
386,momentum_20,2025-06-25,Q2,0.01825671461166418
387,momentum_20,2025-06-26,Q2,0.024478968160047434
388,momentum_20,2025-06-27,Q2,0.013139963106055457
389,momentum_20,2025-06-30,Q2,0.018153701707375552
390,momentum_20,2025-07-01,Q2,0.01988489097104833
391,momentum_20,2025-07-02,Q2,0.01577381065885912
392,momentum_20,2025-07-03,Q2,0.02284176282954516
393,momentum_20,2025-07-04,Q2,0.026633600732409585
394,momentum_20,2025-07-07,Q2,0.02344707418506782
395,momentum_20,2025-07-08,Q2,0.0008662763711825055
396,momentum_20,2025-07-09,Q2,0.010367691669120167
397,momentum_20,2025-07-10,Q2,0.008055367214698302
398,momentum_20,2025-07-11,Q2,0.0033832515545630538
399,momentum_20,2025-07-14,Q2,0.015802432671049298
400,momentum_20,2025-07-15,Q2,0.03642097840573653
401,momentum_20,2025-07-16,Q2,0.027099477632119204
402,momentum_20,2025-07-17,Q2,0.036851558815324904
403,momentum_20,2025-07-18,Q2,0.030435101623916404
404,momentum_20,2025-07-21,Q2,0.008225082178575201
405,momentum_20,2025-07-22,Q2,0.002744398315754396
406,momentum_20,2025-07-23,Q2,0.005683648800252493
407,momentum_20,2025-07-24,Q2,-0.021334307207008997
408,momentum_20,2025-07-25,Q2,-0.013520707430324611
409,momentum_20,2025-07-28,Q2,-0.006666510069091578
410,momentum_20,2025-07-29,Q2,0.007044141574658099
411,momentum_20,2025-07-30,Q2,0.01098343621069284
412,momentum_20,2025-07-31,Q2,0.029432601598108708
413,momentum_20,2025-08-01,Q2,0.02366483919920822
414,momentum_20,2025-08-04,Q2,0.02837325554807943
415,momentum_20,2025-08-05,Q2,0.017797071234270913
416,momentum_20,2025-08-06,Q2,0.015325916781640688
417,momentum_20,2025-08-07,Q2,-0.0012599045808305254
418,momentum_20,2025-08-08,Q2,0.008270766918514154
419,momentum_20,2025-08-11,Q2,0.0074951219036809855
420,momentum_20,2025-08-12,Q2,0.014470429111446626
421,momentum_20,2025-08-13,Q2,0.01887126702315848
422,momentum_20,2025-08-14,Q2,0.039827970315383716
423,momentum_20,2025-08-15,Q2,0.030718455150059682
424,momentum_20,2025-08-18,Q2,0.027247824705427845
425,momentum_20,2025-08-19,Q2,0.030225762438048205
426,momentum_20,2025-08-20,Q2,-0.006350922676754597
427,momentum_20,2025-08-21,Q2,-0.011747428565572517
428,momentum_20,2025-08-22,Q2,-0.01757542279241584
429,momentum_20,2025-08-25,Q2,-0.016976219050067926
430,momentum_20,2025-08-26,Q2,-0.030976755778844206
431,momentum_20,2025-08-27,Q2,-0.021290939725563018
432,momentum_20,2025-08-28,Q2,-0.01870040205117111
433,momentum_20,2025-08-29,Q2,-0.0018676641501304638
434,momentum_20,2025-09-01,Q2,-0.0021801710317545
435,momentum_20,2025-09-02,Q2,0.0021234256431524406
436,momentum_20,2025-09-03,Q2,0.02351997190664886
437,momentum_20,2025-09-04,Q2,0.030223573516367324
438,momentum_20,2025-09-05,Q2,0.012953102183509745
439,momentum_20,2025-09-08,Q2,0.001114965786425564
440,momentum_20,2025-09-09,Q2,0.017685433631868835
441,momentum_20,2025-09-10,Q2,0.015199585949819435
442,momentum_20,2025-09-11,Q2,-0.009738710195672793
443,momentum_20,2025-09-12,Q2,-0.010278195145834721
444,momentum_20,2025-09-15,Q2,-0.012453567974969843
445,momentum_20,2025-09-16,Q2,-0.03329852529379845
446,momentum_20,2025-09-17,Q2,-0.022639352428147092
447,momentum_20,2025-09-18,Q2,-0.013708504483700647
448,momentum_20,2025-09-19,Q2,-0.011928683484701007
449,momentum_20,2025-09-22,Q2,-0.002777097381666319
450,momentum_20,2025-09-23,Q2,0.015935151064464664
451,momentum_20,2025-09-24,Q2,0.003992301073943448
452,momentum_20,2025-09-25,Q2,0.01936811771244868
453,momentum_20,2025-09-26,Q2,0.015490918620693626
454,momentum_20,2025-09-29,Q2,0.01064808339831926
455,momentum_20,2025-09-30,Q2,0.01988925312508053
456,momentum_20,2025-10-09,Q2,0.005401417606058126
457,momentum_20,2025-10-10,Q2,-0.014914019834706818
458,momentum_20,2025-10-13,Q2,-0.0019086422785737035
459,momentum_20,2025-10-14,Q2,0.015446108226385306
460,momentum_20,2025-10-15,Q2,0.010103162318340768
461,momentum_20,2025-10-16,Q2,0.0258479332099273
462,momentum_20,2025-10-17,Q2,0.03986157863589311
463,momentum_20,2025-10-20,Q2,0.02394575761524089
464,momentum_20,2025-10-21,Q2,0.008114127655968995
465,momentum_20,2025-10-22,Q2,0.00545571109576409
466,momentum_20,2025-10-23,Q2,-0.0081534006566396
467,momentum_20,2025-10-24,Q2,0.005158995249460072
468,momentum_20,2025-10-27,Q2,0.008370152652825338
469,momentum_20,2025-10-28,Q2,0.005529813324847984
470,momentum_20,2025-10-29,Q2,0.016979384437312655
471,momentum_20,2025-10-30,Q2,0.027164467501104888
472,momentum_20,2025-10-31,Q2,0.015606462986311857
473,momentum_20,2025-11-03,Q2,0.01597669602278384
474,momentum_20,2025-11-04,Q2,0.023475200244920894
475,momentum_20,2025-11-05,Q2,0.012111736257254377
476,momentum_20,2025-11-06,Q2,0.020771405103570468
477,momentum_20,2025-11-07,Q2,0.017312270705200496
478,momentum_20,2025-11-10,Q2,0.010045392070219941
479,momentum_20,2025-11-11,Q2,-0.006340345733087979
480,momentum_20,2025-11-12,Q2,-0.008781693147631301
481,momentum_20,2025-11-13,Q2,-0.025219222798888604
482,momentum_20,2025-11-14,Q2,-0.052767397601087014
483,momentum_20,2025-11-17,Q2,-0.04736226458852764
484,momentum_20,2025-11-18,Q2,-0.03382032379878432
485,momentum_20,2025-11-19,Q2,-0.024446399414307308
486,momentum_20,2025-11-20,Q2,-0.0203757365692213
487,momentum_20,2025-11-21,Q2,0.029907720061135408
488,momentum_20,2025-11-24,Q2,0.02161503184954858
489,momentum_20,2025-11-25,Q2,0.010580515448305553
490,momentum_20,2025-11-26,Q2,0.012383310153135974
