wind_code,sec_name
159293.SZ,创业板综增强ETF建信
159295.SZ,创业综指ETF西部利得
159296.SZ,A500红利低波ETF
159297.SZ,港股通创新药ETF南方
159298.SZ,创业板50ETF大成
159299.SZ,金融科技ETF易方达
159300.SZ,300ETF
159301.SZ,公用事业ETF
159302.SZ,港股高股息ETF
159303.SZ,恒生医疗ETF大成
159305.SZ,储能电池ETF广发
159306.SZ,汽车零件ETF
159307.SZ,红利低波100ETF博时
159309.SZ,油气ETF汇添富
159310.SZ,芯片ETF天弘
159311.SZ,数字经济ETF易方达
159312.SZ,恒指港股通ETF广发
159315.SZ,黄金股ETF工银
159316.SZ,港股通创新药ETF易方达
159318.SZ,恒指港股通ETF银华
159320.SZ,电网设备ETF广发
159321.SZ,黄金股票ETF
159322.SZ,黄金股票ETF基金
159323.SZ,港股通汽车ETF
159325.SZ,半导体ETF南方
159326.SZ,电网设备ETF
159327.SZ,半导体设备ETF万家
159328.SZ,家电ETF易方达
159329.SZ,沙特ETF南方
159330.SZ,沪深300ETF东财
159331.SZ,红利港股ETF国泰
159332.SZ,央企红利ETF富国
159333.SZ,港股央企红利ETF万家
159335.SZ,央企科创ETF融通
159336.SZ,央企红利ETF融通
159337.SZ,中证500ETF东财
159338.SZ,中证A500ETF
159339.SZ,A500ETF
159350.SZ,深证50ETF富国
159351.SZ,A500ETF嘉实
159352.SZ,A500ETF南方
159353.SZ,中证A500ETF景顺
159355.SZ,800红利低波ETF
159356.SZ,A500ETF万家
159357.SZ,A500ETF博时
159358.SZ,中证A500ETF大成
159359.SZ,A500指数ETF
159360.SZ,中证A500ETF天弘
159361.SZ,A500ETF易方达
159362.SZ,A500ETF工银
159363.SZ,创业板人工智能ETF华宝
159365.SZ,恒指ETF
159366.SZ,港股医疗ETF永赢
159367.SZ,创业板50ETF华夏
159368.SZ,创业板新能源ETF华夏
159369.SZ,创业板50ETF易方达
159370.SZ,创50ETF工银
159371.SZ,创业板50ETF富国
159372.SZ,创业板50ETF万家
159373.SZ,创业板50ETF嘉实
159375.SZ,创业板50ETF国泰
159376.SZ,A500ETF浦银
159377.SZ,创业板医药ETF国泰
159378.SZ,通用航空ETF
159379.SZ,A500ETF融通
159380.SZ,A500ETF东财
159381.SZ,创业板人工智能ETF华夏
159382.SZ,创业板人工智能ETF南方
159383.SZ,创业板50ETF华泰柏瑞
159385.SZ,数字经济ETF富国
159386.SZ,A500ETF永赢
159387.SZ,创业板新能源ETF国泰
159388.SZ,创业板人工智能ETF国泰
159389.SZ,数字经济ETF嘉实
159390.SZ,中证A50ETF国联
159391.SZ,大盘价值ETF博时
159392.SZ,航空ETF
159393.SZ,沪深300ETF万家
159395.SZ,信用债ETF大成
159396.SZ,信用债ETF博时
159397.SZ,信用债ETF广发
159398.SZ,信用债ETF天弘
159399.SZ,现金流ETF
159400.SZ,科创债ETF景顺
159500.SZ,500ETF
159501.SZ,纳指ETF嘉实
159502.SZ,标普生物科技ETF嘉实
159505.SZ,国证2000ETF博时
159506.SZ,港股通医疗ETF富国
159507.SZ,通信ETF广发
159508.SZ,生物医药ETF基金
159509.SZ,纳指科技ETF景顺
159510.SZ,沪深300价值ETF
159511.SZ,通信ETF南方
159512.SZ,汽车ETF
159513.SZ,纳斯达克100ETF大成
159515.SZ,国企红利ETF
159516.SZ,半导体设备ETF
159517.SZ,中证800增强ETF银华
159518.SZ,标普油气ETF嘉实
159519.SZ,港股国企ETF国泰
159520.SZ,消费龙头ETF工银
159521.SZ,国证2000ETF指数基金
159523.SZ,沪深300成长ETF华夏
159525.SZ,红利低波ETF
159526.SZ,机器人ETF嘉实
159527.SZ,云计算ETF广发
159528.SZ,国企改革ETF富国
159529.SZ,标普消费ETF
159530.SZ,机器人ETF易方达
159531.SZ,中证2000ETF
159532.SZ,中证2000ETF易方达
159533.SZ,中证2000ETF博时
159535.SZ,中证2000ETF嘉实
159536.SZ,中证2000ETF汇添富
159537.SZ,信创ETF
159538.SZ,信创ETF富国
159539.SZ,信创ETF广发
159540.SZ,信创ETF易方达
159541.SZ,创业板综ETF万家
159542.SZ,工程机械ETF大成
159543.SZ,国证2000ETF工银
159545.SZ,恒生红利低波ETF易方达
159546.SZ,集成电路ETF
159547.SZ,红利低波ETF华夏
159549.SZ,红利低波ETF天弘
159550.SZ,互联网ETF东财
159551.SZ,机器人ETF国泰
159552.SZ,中证2000增强ETF招商
159553.SZ,中证2000增强ETF海富通
159555.SZ,中证2000增强ETF银华
159556.SZ,中证2000ETF增强
159557.SZ,恒生医疗ETF嘉实
159558.SZ,半导体设备ETF易方达
159559.SZ,机器人50ETF
159560.SZ,芯片ETF景顺
159561.SZ,德国ETF嘉实
159562.SZ,黄金股ETF
159563.SZ,创业板综ETF华夏
159565.SZ,汽车零部件ETF易方达
159566.SZ,储能电池ETF易方达
159567.SZ,港股创新药ETF
159568.SZ,港股互联网ETF博时
159569.SZ,港股红利低波ETF
159570.SZ,港股通创新药ETF
159571.SZ,创业板200ETF富国
159572.SZ,创业板200ETF易方达
159573.SZ,创业板200ETF华夏
159575.SZ,创业板200ETF银华
159576.SZ,深证100ETF广发
159577.SZ,美国50ETF汇添富
159578.SZ,深证主板50ETF南方
159581.SZ,红利ETF万家
159582.SZ,半导体ETF博时
159583.SZ,通信设备ETF
159586.SZ,计算机ETF南方
159587.SZ,粮食ETF广发
159588.SZ,石油天然气ETF
159589.SZ,红利ETF广发
159590.SZ,软件ETF汇添富
159591.SZ,中证A50ETF
159592.SZ,A50ETF基金
159593.SZ,中证A50指数ETF
159595.SZ,中证A50ETF大成
159596.SZ,A50ETF华宝
159597.SZ,创业板成长ETF易方达
159599.SZ,芯片ETF东财
159600.SZ,科创债ETF嘉实
159601.SZ,A50ETF
159602.SZ,中国A50ETF南方
159603.SZ,双创龙头ETF
159605.SZ,中概互联ETF
159606.SZ,中证500成长ETF易方达
159607.SZ,中概互联网ETF嘉实
159608.SZ,稀有金属ETF
159609.SZ,光伏ETF浦银
159610.SZ,500ETF增强
159611.SZ,电力ETF
159612.SZ,标普500ETF
159613.SZ,信息安全ETF嘉实
159615.SZ,恒生生物科技ETF南方
159616.SZ,农牧ETF建信
159617.SZ,中证500价值ETF华夏
159618.SZ,光伏ETF指数基金
159619.SZ,基建ETF
159620.SZ,中证500成长ETF华夏
159621.SZ,ESGETF国泰
159622.SZ,创新药ETF东财
159623.SZ,成渝经济圈ETF博时
159625.SZ,绿色电力ETF嘉实
159627.SZ,A100ETF华夏
159628.SZ,国证2000ETF万家
159629.SZ,1000ETF
159630.SZ,A100ETF汇添富
159631.SZ,A100ETF招商
159632.SZ,纳斯达克ETF
159633.SZ,中证1000ETF易方达
159635.SZ,基建ETF华夏
159636.SZ,港股通科技30ETF工银
159637.SZ,新能源车ETF东财
159638.SZ,高端装备ETF嘉实
159639.SZ,碳中和ETF南方
159640.SZ,碳中和龙头ETF工银
159641.SZ,碳中和ETF招商
159642.SZ,碳中和ETF大成
159643.SZ,疫苗ETF
159645.SZ,疫苗ETF富国
159647.SZ,中药ETF
159649.SZ,国开债ETF
159650.SZ,国开债ETF博时
159651.SZ,国开债券ETF
159652.SZ,有色ETF汇添富
159653.SZ,ESG300ETF
159655.SZ,标普ETF
159656.SZ,沪深300成长ETF万家
159657.SZ,疫苗ETF鹏华
159658.SZ,数字经济ETF
159659.SZ,纳斯达克100ETF
159660.SZ,纳指ETF汇添富
159661.SZ,A100ETF嘉实
159662.SZ,交运ETF南方
159663.SZ,机床ETF
159665.SZ,半导体龙头ETF工银
159666.SZ,交通运输ETF
159667.SZ,工业母机ETF
159669.SZ,绿色电力ETF国泰
159670.SZ,消费50ETF国联安
159671.SZ,稀有金属ETF工银
159672.SZ,消费ETF博时
159673.SZ,沪深300ETF鹏华
159675.SZ,创业板增强ETF嘉实
159676.SZ,创业板增强ETF富国
159677.SZ,中证1000增强ETF银华
159678.SZ,500增强ETF博时
159679.SZ,中证1000增强ETF国泰
159680.SZ,中证1000增强ETF招商
159681.SZ,创50ETF
159682.SZ,创业板50ETF景顺
159685.SZ,1000增强ETF天弘
159686.SZ,A100ETF易方达
159687.SZ,亚太精选ETF南方
159688.SZ,恒生互联网ETF
159689.SZ,消费ETF南方
159690.SZ,有色矿业ETF招商
159691.SZ,港股红利ETF工银
159692.SZ,证券ETF东财
159695.SZ,通信ETF嘉实
159696.SZ,纳指ETF易方达
159697.SZ,石油ETF鹏华
159698.SZ,粮食ETF
159699.SZ,恒生消费ETF
159700.SZ,科创债ETF南方
159701.SZ,物联网ETF招商
159703.SZ,新材料ETF
159706.SZ,深证100ETF华安
159707.SZ,地产ETF
159708.SZ,红利ETF西部利得
159709.SZ,物联网ETF工银
159711.SZ,港股通50ETF华夏
159712.SZ,港股通50ETF国泰
159713.SZ,稀土ETF
159715.SZ,稀土ETF易方达
159716.SZ,深证100ETF华宝
159717.SZ,ESGETF
159718.SZ,港股医药ETF
159719.SZ,国企共赢ETF
159720.SZ,智能车ETF泰康
159721.SZ,深证100ETF永赢
159723.SZ,科技龙头ETF汇添富
159725.SZ,线上消费ETF工银
159726.SZ,港股通高股息ETF华夏
159728.SZ,在线消费ETF南方
159729.SZ,互联网ETF汇添富
159730.SZ,家电ETF博时
159731.SZ,石化ETF
159732.SZ,消费电子ETF
159735.SZ,港股消费ETF银华
159736.SZ,食品饮料ETF天弘
159738.SZ,云计算ETF华泰柏瑞
159739.SZ,云计算ETF鹏华
159740.SZ,恒生科技ETF大成
159741.SZ,恒生科技ETF嘉实
159742.SZ,恒生科技ETF博时
159743.SZ,湖北ETF博时
159745.SZ,建材ETF
159747.SZ,香港科技ETF南方
159748.SZ,创新药ETF富国
159750.SZ,港股科技50ETF招商
159751.SZ,港股通科技ETF鹏华
159752.SZ,新能源ETF申万菱信
159755.SZ,电池ETF
159757.SZ,电池ETF景顺
159758.SZ,红利质量ETF
159760.SZ,医疗健康ETF泰康
159761.SZ,新材料ETF国泰
159763.SZ,新材料ETF建信
159766.SZ,旅游ETF
159767.SZ,电池龙头ETF
159768.SZ,房地产ETF银华
159770.SZ,机器人ETF
159773.SZ,创业板科技ETF华泰柏瑞
159775.SZ,电池ETF建信
159776.SZ,港股医药ETF银华
159777.SZ,创科技ETF
159778.SZ,工业互联网ETF鹏华
159779.SZ,消费电子50ETF
159780.SZ,科创创业50ETF南方
159781.SZ,科创创业ETF易方达
159782.SZ,双创50ETF
159783.SZ,科创创业50ETF
159786.SZ,VRETF
159787.SZ,建材ETF易方达
159788.SZ,港股通100ETF易方达
159790.SZ,碳中和ETF
159791.SZ,300ESGETF华夏
159792.SZ,港股通互联网ETF
159793.SZ,线上消费ETF基金
159795.SZ,智能汽车ETF汇添富
159796.SZ,电池ETF汇添富
159797.SZ,医疗器械ETF汇添富
159798.SZ,消费ETF易方达
159800.SZ,中证800ETF鹏华
159801.SZ,芯片ETF广发
159804.SZ,创中盘88ETF国寿
159805.SZ,传媒ETF
159806.SZ,新能源车ETF
159807.SZ,科技ETF易方达
159808.SZ,创100ETF融通
159810.SZ,创业板ETF浦银
159811.SZ,5GETF博时
159812.SZ,黄金ETF前海开源
159813.SZ,半导体ETF
159814.SZ,创业大盘ETF西部利得
159816.SZ,0-4地债ETF
159819.SZ,人工智能ETF易方达
159820.SZ,中证500ETF天弘
159821.SZ,创业板ETF中银证券
159822.SZ,新经济ETF银华
159824.SZ,新能源车ETF博时
159825.SZ,农业ETF
159827.SZ,农业ETF银华
159828.SZ,医疗ETF
159830.SZ,上海金ETF
159831.SZ,金ETF嘉实
159834.SZ,金ETF南方
159835.SZ,创新药ETF建信
159836.SZ,创业板300ETF天弘
159837.SZ,生物科技ETF易方达
159838.SZ,医药50ETF博时
159839.SZ,生物医药ETF汇添富
159840.SZ,锂电池ETF工银
159841.SZ,证券ETF
159842.SZ,券商ETF
159843.SZ,食品饮料ETF
159845.SZ,中证1000ETF
159847.SZ,医疗ETF易方达
159848.SZ,证券ETF国联安
159849.SZ,生物科技ETF招商
159850.SZ,恒生国企ETF
159851.SZ,金融科技ETF
159852.SZ,软件ETF
159855.SZ,影视ETF
159856.SZ,互联网龙头ETF工银
159857.SZ,光伏ETF
159858.SZ,创新药ETF南方
159859.SZ,生物医药ETF
159861.SZ,碳中和50ETF国泰
159862.SZ,食品饮料ETF银华
159863.SZ,光伏ETF鹏华
159864.SZ,光伏ETF国泰
159865.SZ,养殖ETF
159866.SZ,日经ETF工银
159867.SZ,畜牧ETF
159869.SZ,游戏ETF
159870.SZ,化工ETF
159871.SZ,有色ETF银华
159872.SZ,智能网联汽车ETF
159873.SZ,医疗设备ETF
159875.SZ,新能源ETF嘉实
159876.SZ,有色ETF华宝
159877.SZ,医疗ETF南方
159880.SZ,有色ETF鹏华
159881.SZ,有色金属ETF国泰
159883.SZ,医疗器械ETF
159885.SZ,碳中和ETF鹏华
159886.SZ,机械ETF富国
159887.SZ,银行ETF
159888.SZ,智能汽车ETF华夏
159889.SZ,智能汽车ETF
159890.SZ,云计算ETF
159891.SZ,医疗ETF建信
159892.SZ,恒生医药ETF
159895.SZ,物联网ETF易方达
159896.SZ,物联网ETF南方
159898.SZ,医疗器械ETF招商
159899.SZ,软件ETF招商
159901.SZ,深证100ETF易方达
159902.SZ,中小100ETF华夏
159903.SZ,深成ETF南方
159905.SZ,红利ETF工银
159906.SZ,深成长ETF大成
159907.SZ,2000ETF
159908.SZ,创业板ETF博时
159909.SZ,TMT50ETF招商
159910.SZ,基本面120ETF嘉实
159912.SZ,深300ETF汇添富
159913.SZ,深价值ETF交银
159915.SZ,创业板ETF易方达
159916.SZ,基本面ETF建信
159918.SZ,中创400ETF嘉实
159919.SZ,沪深300ETF嘉实
159920.SZ,恒生ETF
159922.SZ,中证500ETF嘉实
159923.SZ,中证A100ETF大成
159925.SZ,沪深300ETF南方
159928.SZ,消费ETF
159929.SZ,医药ETF
159930.SZ,能源ETF
159931.SZ,金融ETF
159933.SZ,金融地产ETF国投瑞银
159934.SZ,黄金ETF易方达
159935.SZ,中证500ETF景顺
159936.SZ,可选消费ETF
159937.SZ,黄金ETF博时
159938.SZ,医药ETF广发
159939.SZ,信息技术ETF
159940.SZ,金融地产ETF
159941.SZ,纳指ETF
159943.SZ,深证成指ETF大成
159944.SZ,材料ETF
159945.SZ,能源ETF广发
159948.SZ,创业板ETF南方
159949.SZ,创业板50ETF
159952.SZ,创业板ETF广发
159954.SZ,恒生中国企业ETF南方
159956.SZ,创业板ETF建信
159957.SZ,创业板ETF华夏
159958.SZ,创业板ETF工银
159959.SZ,央企ETF银华
159960.SZ,恒生中国企业ETF
159961.SZ,深100ETF方正富邦
159964.SZ,创业板ETF平安
159965.SZ,央视50ETF国联
159966.SZ,创业板价值ETF
159967.SZ,创业板成长ETF
159968.SZ,中证500ETF博时
159969.SZ,深100ETF银华
159970.SZ,深100ETF工银
159971.SZ,创业板ETF富国
159972.SZ,5年地债ETF
159973.SZ,民企ETF弘毅远方
159974.SZ,央企创新ETF富国
159975.SZ,深100ETF招商
159976.SZ,湾创ETF工银
159977.SZ,创业板ETF天弘
159980.SZ,有色ETF大成
159981.SZ,能源化工ETF建信
159982.SZ,中证500ETF鹏华
159985.SZ,豆粕ETF
159991.SZ,创业板大盘ETF招商
159992.SZ,创新药ETF
159993.SZ,证券ETF鹏华
159994.SZ,通信ETF银华
159995.SZ,芯片ETF
159996.SZ,家电ETF
159997.SZ,电子ETF
159998.SZ,计算机ETF
160105.SZ,南方积配LOF
160106.SZ,南方高增LOF
160119.SZ,500ETF联接LOF
160125.SZ,南方香港LOF
160127.SZ,南方消费LOF
160128.SZ,南方金利定开
160133.SZ,南方天元LOF
160135.SZ,高铁基金LOF
160140.SZ,美国REIT精选LOF
160142.SZ,南方优势产业LOF
160143.SZ,创业板定开南方
160211.SZ,国泰小盘LOF
160212.SZ,国泰估值LOF
160215.SZ,国泰价值LOF
160216.SZ,国泰商品LOF
160218.SZ,房地产LOF
160219.SZ,医药LOF
160220.SZ,国泰民益LOF
160221.SZ,有色金属LOF
160222.SZ,食品LOF
160223.SZ,创业板LOF
160225.SZ,新能源汽车LOF
160311.SZ,华夏蓝筹LOF
160314.SZ,华夏行业LOF
160322.SZ,港股精选LOF
160323.SZ,华夏磐泰LOF
160324.SZ,华夏磐晟LOF
160325.SZ,华夏创业板定开
160326.SZ,优选配置FOF-LOF
160416.SZ,石油基金LOF
160421.SZ,华安智增LOF
160505.SZ,博时主题LOF
160512.SZ,博时卓越LOF
160513.SZ,稳健债LOF
160515.SZ,安丰18定开
160518.SZ,博时睿远LOF
160526.SZ,博时优势企业
160527.SZ,博时研究优选LOF
160529.SZ,创业板博时定开
160607.SZ,鹏华价值优势LOF
160610.SZ,鹏华动力LOF
160611.SZ,鹏华优质治理LOF
160613.SZ,鹏华盛世创新LOF
160615.SZ,鹏华300LOF
160616.SZ,鹏华500LOF
160617.SZ,鹏华丰润LOF
160618.SZ,鹏华丰泽LOF
160620.SZ,资源LOF
160621.SZ,鹏华丰和LOF
160622.SZ,鹏华丰利LOF
160625.SZ,证保LOF
160626.SZ,信息LOF
160628.SZ,地产LOF
160629.SZ,传媒LOF
160630.SZ,国防LOF
160631.SZ,银行LOF基金
160632.SZ,酒LOF
160633.SZ,券商LOF
160635.SZ,医药LOF基金
160637.SZ,创业板LOF基金
160638.SZ,带路LOF
160639.SZ,高铁LOF
160641.SZ,鹏华丰锐LOF
160642.SZ,鹏华增瑞LOF
160643.SZ,空天军工LOF
160644.SZ,港美互联网LOF
160706.SZ,沪深300LOF
160716.SZ,基本面50LOF
160717.SZ,H股LOF
160719.SZ,嘉实黄金LOF
160722.SZ,嘉实惠泽LOF
160723.SZ,嘉实原油LOF
160726.SZ,嘉实瑞享定开
160805.SZ,长盛同智LOF
160806.SZ,长盛中证800LOF
160807.SZ,长盛沪深300LOF
160812.SZ,长盛同益LOF
160813.SZ,长盛同盛LOF
160910.SZ,创新成长LOF
160916.SZ,优选LOF
160918.SZ,中小盘LOF
160919.SZ,产业升级LOF
160921.SZ,多策略LOF
160924.SZ,恒生指数LOF
160925.SZ,沪深港300LOF
160926.SZ,创业板定开
161005.SZ,富国天惠LOF
161010.SZ,富国天丰LOF
161014.SZ,富国汇利定开
161015.SZ,富国天盈LOF
161017.SZ,500增强LOF
161019.SZ,富国天锋LOF
161024.SZ,军工LOF
161025.SZ,互联网LOF
161026.SZ,国企改革LOF
161027.SZ,证券LOF
161028.SZ,新能源车LOF
161029.SZ,银行龙头LOF
161030.SZ,体育LOF
161031.SZ,工业40LOF
161032.SZ,煤炭龙头LOF
161033.SZ,智能汽车LOF
161035.SZ,医药增强LOF
161036.SZ,娱乐增强LOF
161037.SZ,高端制造LOF
161038.SZ,成长LOF
161039.SZ,1000增强LOF
161040.SZ,创业富国定开
161115.SZ,易基岁丰添利LOF
161116.SZ,黄金主题LOF
161117.SZ,易基永旭添利定开
161118.SZ,中小企业100LOF
161119.SZ,易方达新综债LOF
161121.SZ,银行LOF易方达
161122.SZ,生物科技LOF
161123.SZ,并购重组LOF
161124.SZ,港股小盘LOF
161125.SZ,标普500LOF
161126.SZ,标普医疗保健LOF
161127.SZ,标普生物科技LOF
161128.SZ,标普信息科技LOF
161129.SZ,原油LOF易方达
161130.SZ,纳斯达克100LOF
161131.SZ,易方达科润LOF
161132.SZ,易方达科顺定开
161133.SZ,优势回报FOF-LOF
161216.SZ,国投双债LOF
161217.SZ,国投资源LOF
161219.SZ,国投新兴产业LOF
161222.SZ,国投瑞利LOF
161224.SZ,国投新丝路LOF
161225.SZ,国投瑞盈LOF
161226.SZ,国投白银LOF
161227.SZ,国投深证100LOF
161229.SZ,国投中国价值LOF
161232.SZ,国投瑞盛LOF
161233.SZ,国投瑞泰LOF
161505.SZ,银河通利债券LOF
161607.SZ,巨潮100LOF
161610.SZ,融通领先成长LOF
161614.SZ,融通四季添利LOF
161626.SZ,融通通福LOF
161631.SZ,人工智能LOF
161706.SZ,招商成长LOF
161713.SZ,招商信用添利LOF
161715.SZ,大宗商品LOF
161716.SZ,招商双债LOF
161720.SZ,证券基金LOF
161722.SZ,招商丰泰LOF
161724.SZ,煤炭等权LOF
161725.SZ,白酒基金LOF
161726.SZ,生物医药LOF
161727.SZ,招商增荣LOF
161728.SZ,招商优选LOF
161729.SZ,招商瑞利LOF
161810.SZ,银华内需LOF
161811.SZ,沪深300LOF银华
161812.SZ,深证100LOF
161815.SZ,抗通胀LOF
161816.SZ,中证90LOF
161820.SZ,银华纯债LOF
161831.SZ,恒生国企LOF
161834.SZ,银华鑫锐LOF
161837.SZ,银华大盘定开
161903.SZ,万家行业优选LOF
161908.SZ,万家添利LOF
161912.SZ,社会责任定开
161914.SZ,创业板2年定开
162006.SZ,长城久富LOF
162105.SZ,金鹰持久增利LOF
162108.SZ,金鹰元盛债券LOF
162207.SZ,宏利效率混合LOF
162215.SZ,宏利聚利债券LOF
162216.SZ,宏利500增强LOF
162307.SZ,海富通A100LOF
162411.SZ,华宝油气LOF
162412.SZ,医疗基金LOF
162414.SZ,新机遇LOF
162415.SZ,美国消费LOF
162509.SZ,中证A100LOF
162605.SZ,景顺鼎益LOF
162607.SZ,景顺资源LOF
162703.SZ,广发小盘LOF
162711.SZ,中证500LOF
162712.SZ,广发聚利LOF
162715.SZ,广发聚源LOF
162719.SZ,石油LOF
162720.SZ,广发创业板定开
162721.SZ,广发积极FOF-LOF
163001.SZ,长信医疗LOF
163003.SZ,长信利鑫LOF
163005.SZ,长信利众LOF
163109.SZ,申万深成LOF
163110.SZ,申万量化LOF
163111.SZ,申万中小LOF
163113.SZ,申万证券LOF
163114.SZ,申万环保LOF
163115.SZ,申万军工LOF
163116.SZ,申万电子LOF
163118.SZ,医药生物LOF
163208.SZ,全球油气能源LOF
163302.SZ,大摩资源LOF
163402.SZ,兴全趋势LOF
163406.SZ,兴全合润LOF
163407.SZ,兴全沪深300LOF
163409.SZ,兴全绿色LOF
163412.SZ,兴全轻资产LOF
163415.SZ,兴全商业模式LOF
163417.SZ,兴全合宜LOF
163418.SZ,兴全合兴LOF
163503.SZ,天治核心LOF
163801.SZ,中银中国LOF
163819.SZ,中银信用增利LOF
163821.SZ,沪深300等权LOF
163907.SZ,中海惠裕LOF
164105.SZ,华富强债LOF
164206.SZ,天弘添利LOF
164208.SZ,天弘丰利LOF
164210.SZ,天弘同利LOF
164403.SZ,农业精选LOF
164508.SZ,国富中证A100LOF
164509.SZ,国富恒利债券LOF
164606.SZ,信用增利LOF
164701.SZ,黄金LOF
164703.SZ,汇添富纯债LOF
164705.SZ,恒生LOF
164808.SZ,工银四季LOF
164810.SZ,工银纯债定开
164814.SZ,工银双债LOF
164824.SZ,印度基金LOF
164902.SZ,交银添利LOF
